Rede, Jogador, ID do Jogo, Stake, Data de Início, Data de Conclusão, Participantes, Rake, Jogo, Estrutura, Velocidade, Resultado (incluindo Rake), Posição, Bandeiras, Moeda, Reentradas/Recompras, Duração, Jogadores por mesa, Prêmio, Nome, Total de Reentradas, Prêmio de Recompensa
PokerStars,"Mr.Bittar",3988616315,50.0,2026-04-10 13:30,2026-04-10 21:53,1344,5.0,H,No Limit,Normal,-14.38,364,Bounty Progressive-Bounty Multi-Entry,USD,,30238,8,40.62,"$55 Mini Bounty Builder HR [Progressive KO], $80K Gtd",426,40.62
iPoker,"KellySeveride",1159377966,22.75,2026-04-10 12:30,2026-04-10 21:16,545,2.25,H,No Limit,Normal,-25.00,580,Bounty Deep-Stack Multi-Entry,EUR,,31560,8,,"€15,000 GTD BOUNTY KING",148,
iPoker,"KellySeveride",1152441349,45.5,2026-04-10 12:20,2026-04-10 20:29,170,4.5,H,No Limit,Normal,61.21,20,Deep-Stack Multi-Entry,EUR,,29368,9,111.21,"VC|€10,000 GTD VANILLA STACK",72,
PokerStars(FR-ES-PT),"RedemptionRiver",3983883040,18.0,2026-04-10 14:00,2026-04-10 20:25,604,2.0,H,No Limit,Normal,-20.00,153,Multi-Entry,EUR,,23135,8,,"SCOOP-136: €20 April Showers [8-Max], €12,500 guaranteed",161,
PokerStars(FR-ES-PT),"RedemptionRiver",3983883041,45.0,2026-04-10 14:00,2026-04-10 19:31,458,5.0,H,No Limit,Normal,-50.00,172,6-Max Bounty Progressive-Bounty Mystery-Bounty Multi-Entry,EUR,,19880,6,,"SCOOP-137: €50 GigaStack [Mystery Bounty, 6-Max], €25,000 guaranteed",116,
PokerStars,"Mr.Bittar",3988616239,20.0,2026-04-09 14:30,2026-04-09 23:04,1771,2.0,H,No Limit,Normal,-14.50,1311,Bounty Progressive-Bounty Multi-Entry,USD,,30896,8,7.5,"$22 Mini Thursday Thrill [Progressive KO], $40K Gtd",482,7.5
PokerStars(FR-ES-PT),"RedemptionRiver",3983883032,18.0,2026-04-09 15:30,2026-04-09 22:32,1052,2.0,H,No Limit,Normal,198.57,24,Bounty Progressive-Bounty Multi-Entry,EUR,,25352,8,218.57,"SCOOP-129: €20 Storm [Progressive KO, 8-Max], €20,000 guaranteed",295,171.24
PokerStars,"Mr.Bittar",3988616234,50.0,2026-04-09 13:30,2026-04-09 22:20,1330,5.0,H,No Limit,Normal,-17.50,307,Bounty Progressive-Bounty Multi-Entry,USD,,31806,8,37.5,"$55 Mini Bounty Builder HR [Progressive KO], $80K Gtd",497,37.5
PokerStars(FR-ES-PT),"RedemptionRiver",3983883029,27.0,2026-04-09 14:00,2026-04-09 20:19,824,3.0,H,No Limit,Normal,-16.50,406,6-Max Bounty Progressive-Bounty Multi-Entry,EUR,,22784,6,13.5,"SCOOP-126: €30 Bounty Champion [Progressive KO, 6-Max], €25,000 guaranteed",195,13.5
PokerStars,"Mr.Bittar",3988616257,52.38,2026-04-09 18:02,2026-04-09 20:04,283,2.62,H,No Limit,Super Turbo,-55.00,157,6-Max Multi-Entry,USD,,7355,6,,"$55 Daily Supersonic [6-Max, Hyper-Turbo], $15K Gtd",68,
