Rede, Jogador, ID do Jogo, Stake, Data de Início, Data de Conclusão, Participantes, Rake, Jogo, Estrutura, Velocidade, Resultado (incluindo Rake), Posição, Bandeiras, Moeda, Reentradas/Recompras, Duração, Jogadores por mesa, Prêmio, Nome, Total de Reentradas, Prêmio de Recompensa
PokerStars(FR-ES-PT),"NeverLostFlip",3983883044,18.0,2026-04-10 15:30,2026-04-10 22:30,972,2.0,H,No Limit,Normal,80.62,72,Bounty Progressive-Bounty Multi-Entry,EUR,,25250,8,100.62,"SCOOP-140: €20 Storm [Progressive KO, 8-Max], €20,000 guaranteed",268,75.08
PokerStars,"$ampaioBruno",3988616327,9.8,2026-04-10 17:02,2026-04-10 22:17,2293,1.2,H,No Limit,Turbo,-22.00,2995,Bounty Progressive-Bounty Mystery-Bounty Multi-Entry,USD,,18941,8,,"$11 Mini Daily Cooldown [Turbo, Mystery Bounty], $25K Gtd",992,
PokerStars,"$ampaioBruno",3988616327,9.8,2026-04-10 17:02,2026-04-10 22:17,2293,1.2,H,No Limit,Turbo,-22.00,3111,Bounty Progressive-Bounty Mystery-Bounty Multi-Entry,USD,,18941,8,,"$11 Mini Daily Cooldown [Turbo, Mystery Bounty], $25K Gtd",992,
PokerStars,"$ampaioBruno",3990275306,14.7,2026-04-10 14:30,2026-04-10 22:11,1131,1.8,H,No Limit,Normal,-16.50,1106,Bounty Progressive-Bounty Multi-Entry,USD,,27692,8,,"Bounty Builder $16.50, $18K Gtd",200,
iPoker,"noname2323",1158440926,18.2,2026-04-10 14:30,2026-04-10 21:44,172,1.8,O,Pot Limit,Normal,-55.45,85,6-Max Bounty Deep-Stack Multi-Entry,EUR,,26094,6,,"TFO #28|€3,000 GTD PLO XL",106,4.55
iPoker,"noname2323",1158440926,18.2,2026-04-10 14:30,2026-04-10 21:44,172,1.8,O,Pot Limit,Normal,-55.45,161,6-Max Bounty Deep-Stack Multi-Entry,EUR,,26094,6,,"TFO #28|€3,000 GTD PLO XL",106,4.55
iPoker,"noname2323",1158440926,18.2,2026-04-10 14:30,2026-04-10 21:44,172,1.8,O,Pot Limit,Normal,-55.45,181,6-Max Bounty Deep-Stack Multi-Entry,EUR,,26094,6,,"TFO #28|€3,000 GTD PLO XL",106,4.55
iPoker,"noname2323",1158440770,22.75,2026-04-10 13:30,2026-04-10 21:44,422,2.25,H,No Limit,Normal,-25.00,413,Deep-Stack Multi-Entry,EUR,,29657,8,,"TFO|€10,000 FRIDAY SPECIAL",165,
iPoker,"noname2323",1159377966,22.75,2026-04-10 12:30,2026-04-10 21:16,545,2.25,H,No Limit,Normal,-25.00,538,Bounty Deep-Stack Multi-Entry,EUR,,31560,8,,"€15,000 GTD BOUNTY KING",148,
PokerStars(FR-ES-PT),"NeverLostFlip",3983883042,27.0,2026-04-10 15:00,2026-04-10 20:46,345,3.0,H,No Limit,Normal,-60.00,214,Multi-Entry,EUR,,20774,9,,"SCOOP-138: €30 GigaStack, €10,000 guaranteed",87,
