Rede, Jogador, ID do Jogo, Stake, Data de Início, Data de Conclusão, Participantes, Rake, Jogo, Estrutura, Velocidade, Resultado (incluindo Rake), Posição, Bandeiras, Moeda, Reentradas/Recompras, Duração, Jogadores por mesa, Prêmio, Nome, Total de Reentradas, Prêmio de Recompensa
PokerStars,"JOAOFWEBBER",3984377150,50.0,2026-03-22 13:15,2026-03-22 16:26,1315,5.0,H,No Limit,Normal,-55.00,617,Satellite Multi-Entry,USD,,11472,8,,"SCOOP 119-M [Main Event] Mega Sat: $55 NLHE [8-Max], 100 Seats Gtd",438,
PokerStars,"JOAOFWEBBER",3975672044,50.0,2026-03-19 14:30,2026-03-21 20:05,2650,5.0,H,No Limit,Normal,15186.43,2,Bounty Progressive-Bounty Multi-Entry,USD,,192956,8,15241.43,"SCOOP 106-L: $55 NLHE [Progressive KO, Mini Thursday Thrill], $150K Gtd - 2-Day Event",1045,3910.72
PokerStars,"JOAOFWEBBER",3975672038,20.0,2026-03-19 12:05,2026-03-19 22:34,2766,2.0,H,No Limit,Normal,133.72,28,Deep-Stack Multi-Entry,USD,,37781,8,155.72,"SCOOP 104-L: $22 NLHE [Deep Stacks], $60K Gtd",1001,
PokerStars,"JOAOFWEBBER",3983002689,24.55,2026-03-19 12:30,2026-03-19 22:07,1732,2.45,H,No Limit,Normal,104.31,65,Bounty Progressive-Bounty Multi-Entry,USD,,34665,8,131.31,"SCOOP Edition: $27 Daily Eliminator [Progressive KO], $50K Gtd",377,74.21
PokerStars(FR-ES-PT),"Joaofwebber.es",3982948391,45.0,2026-03-19 15:00,2026-03-19 21:19,148,5.0,H,No Limit,Normal,60.80,27,Bounty Progressive-Bounty Multi-Entry,EUR,,22786,8,110.8,"Thunder €50 / €7,000 Gtd",19,73.11
PokerStars,"JOAOFWEBBER",3984394991,40.0,2026-03-19 13:30,2026-03-19 19:05,241,4.0,H,No Limit,Normal,16.00,62,Bounty Progressive-Bounty Multi-Entry,USD,,20126,8,60.0,"Bounty Builder $44, $10K Gtd",25,60.0
PokerStars,"JOAOFWEBBER",3975671972,20.0,2026-03-16 14:30,2026-03-17 21:37,4307,2.0,H,No Limit,Normal,-22.00,3610,Bounty Progressive-Bounty Multi-Entry,USD,,112064,8,,"SCOOP 86-L: $22 NLHE [Progressive KO], $125K Gtd - 2-Day Event",1839,
PokerStars,"JOAOFWEBBER",3975671973,200.0,2026-03-16 14:30,2026-03-17 21:26,1517,15.0,H,No Limit,Normal,-215.00,939,Bounty Progressive-Bounty Multi-Entry,USD,,111391,8,,"SCOOP 86-M: $215 NLHE [Progressive KO], $300K Gtd - 2-Day Event",399,
GGNetwork,"joaofwebber_",270901746,99.36,2026-03-16 15:30,2026-03-17 01:40,2098,8.64,H,No Limit,Normal,-108.00,1763,Bounty,USD,,36608,8,,"WSOP-SC: $108 Bounty Circuit Freezeout",,
GGNetwork,"joaofwebber_",270361359,23.0,2026-03-16 16:00,2026-03-17 01:05,2775,2.0,H,No Limit,Normal,-25.00,1952,Bounty,USD,,32701,8,,"GGMasters Bounty $25, $50K GTD",,
GGNetwork,"joaofwebber_",270901757,29.44,2026-03-16 16:30,2026-03-17 01:01,3029,2.56,H,No Limit,Normal,-32.00,,Bounty Multi-Entry,USD,,30716,8,,"WSOP-SC: $32 Bounty King of the Spring",893,
GGNetwork,"joaofwebber_",270334819,23.0,2026-03-16 14:00,2026-03-16 23:54,2640,2.0,H,No Limit,Normal,-25.00,2153,,USD,,35680,8,,"GGMasters Classic $25, $45K GTD",,
PokerStars,"JOAOFWEBBER",3983004226,50.0,2026-03-16 15:02,2026-03-16 23:39,1288,5.0,H,No Limit,Normal,12.66,198,Bounty Progressive-Bounty Multi-Entry,USD,,31068,8,67.66,"$55 Mini Bounty Builder HR [Progressive KO], $80K Gtd",417,12.5
PokerStars,"JOAOFWEBBER",3975671967,20.0,2026-03-16 13:05,2026-03-16 23:38,3428,2.0,H,No Limit,Normal,-66.00,2524,Deep-Stack Multi-Entry,USD,,38006,8,,"SCOOP 85-L: $22 NLHE [Deep Stacks], $75K Gtd",1289,
PokerStars,"JOAOFWEBBER",3975671967,20.0,2026-03-16 13:05,2026-03-16 23:38,3428,2.0,H,No Limit,Normal,-66.00,3095,Deep-Stack Multi-Entry,USD,,38006,8,,"SCOOP 85-L: $22 NLHE [Deep Stacks], $75K Gtd",1289,
PokerStars,"JOAOFWEBBER",3975671967,20.0,2026-03-16 13:05,2026-03-16 23:38,3428,2.0,H,No Limit,Normal,-66.00,3556,Deep-Stack Multi-Entry,USD,,38006,8,,"SCOOP 85-L: $22 NLHE [Deep Stacks], $75K Gtd",1289,
GGNetwork,"joaofwebber_",270901726,49.68,2026-03-16 13:30,2026-03-16 23:36,6193,4.32,H,No Limit,Normal,-108.00,,Bounty Deep-Stack Multi-Entry,USD,,36395,8,,"WSOP-SC: $54 Bounty Hunters Circuit Edition",3110,
