Rede, Jogador, ID do Jogo, Stake, Data de Início, Data de Conclusão, Participantes, Rake, Jogo, Estrutura, Velocidade, Resultado (incluindo Rake), Posição, Bandeiras, Moeda, Reentradas/Recompras, Duração, Jogadores por mesa, Prêmio, Nome, Total de Reentradas, Prêmio de Recompensa
PokerStars,"toddy.Jm",3986897953,50.0,2026-04-05 13:30,2026-04-05 23:16,3257,5.0,H,No Limit,Normal,-55.00,3888,Bounty Progressive-Bounty Multi-Entry,USD,,35199,8,,"$55 Mini Bounty Builder HR [Progressive KO], $200K Gtd",1079,
PokerStars,"toddy.Jm",3975671645,50.0,2026-03-01 14:30,2026-03-02 22:14,8453,5.0,H,No Limit,Normal,-30.00,3944,Bounty Progressive-Bounty Multi-Entry,USD,,114270,8,25.0,"SCOOP 04-L: $55 NLHE [Progressive KO, Mini Sunday Million], $300K Gtd - 2-Day Event",2208,25.0
PokerStars,"toddy.Jm",3975671641,9.8,2026-03-01 12:05,2026-03-02 19:31,12951,1.2,H,No Limit,Normal,-11.00,2302,Bounty Progressive-Bounty Mystery-Bounty Multi-Entry,USD,,113183,8,,"SCOOP 03-L: $11 NLHE [Mystery Warm-Up], $85K Gtd - 2-Day Event",4749,
PokerStars,"toddy.Jm",3978244538,24.55,2026-03-01 12:30,2026-03-02 00:16,4217,2.45,H,No Limit,Normal,65.17,676,Bounty Progressive-Bounty Multi-Entry,USD,,42368,8,92.17,"SCOOP Edition: $27 Sunday Eliminator [Progressive KO], $100K Gtd",1114,66.56
PokerStars,"toddy.Jm",3976852816,50.0,2026-03-01 15:05,2026-03-02 00:06,2235,5.0,H,No Limit,Normal,-42.50,979,Bounty Progressive-Bounty Multi-Entry,USD,,32464,8,12.5,"$55 Mini Bounty Builder HR [Progressive KO], $150K Gtd",521,12.5
PokerStars,"toddy.Jm",3978268838,24.55,2026-03-01 16:05,2026-03-01 23:27,3339,2.45,H,No Limit,Normal,-27.00,3391,Bounty Progressive-Bounty Multi-Entry,USD,,26548,8,,"SCOOP Side Event: $27 NLHE [8-Max, Progressive KO], $80K Gtd",750,
PokerStars(FR-ES-PT),"todderaa",3975957892,27.0,2026-03-01 15:00,2026-03-01 23:21,1161,3.0,H,No Limit,Normal,-30.00,595,Bounty Progressive-Bounty Multi-Entry,EUR,,30116,8,,"Carnaval Series-85: €30 Sunday Circus [Progressive KO, 8-Max], €40,000 guaranteed",255,
PokerStars(FR-ES-PT),"todderaa",3975957889,45.0,2026-03-01 13:00,2026-03-01 23:04,1114,5.0,H,No Limit,Normal,-50.00,1092,Bounty Progressive-Bounty Deep-Stack Multi-Entry,EUR,,36275,8,,"Carnaval Series-82: €50 Kickoff Deep [Progressive KO, 8-Max], €60,000 guaranteed",245,
PokerStars,"toddy.Jm",3974765096,50.0,2026-02-22 14:30,2026-02-23 00:33,3503,5.0,H,No Limit,Normal,-55.00,4227,Bounty Progressive-Bounty Multi-Entry,USD,,36193,8,,"$55 Mini Bounty Builder HR [Progressive KO], $200K Gtd",1288,
PokerStars(FR-ES-PT),"todderaa",3975957788,27.0,2026-02-22 15:00,2026-02-22 23:37,1274,3.0,H,No Limit,Normal,-30.00,289,Bounty Progressive-Bounty Multi-Entry,EUR,,31063,8,,"Carnaval Series-05: €30 Sunday Circus [Progressive KO, 8-Max], €40,000 guaranteed",282,
