Rede, Jogador, ID do Jogo, Stake, Data de Início, Data de Conclusão, Participantes, Rake, Jogo, Estrutura, Velocidade, Resultado (incluindo Rake), Posição, Bandeiras, Moeda, Reentradas/Recompras, Duração, Jogadores por mesa, Prêmio, Nome, Total de Reentradas, Prêmio de Recompensa
PokerStars,"lo-fi dream",3988616315,50.0,2026-04-10 13:30,2026-04-10 21:53,1344,5.0,H,No Limit,Normal,-42.50,776,Bounty Progressive-Bounty Multi-Entry,USD,,30238,8,12.5,"$55 Mini Bounty Builder HR [Progressive KO], $80K Gtd",426,12.5
PokerStars,"lo-fi dream",3988616325,30.0,2026-04-10 16:30,2026-04-10 21:16,411,3.0,H,No Limit,Normal,-33.00,401,Bounty Progressive-Bounty Multi-Entry,USD,,17199,8,,"Meteor $33 [8-Max, Progressive KO], $15K Gtd",74,
PokerStars,"lo-fi dream",3988616066,50.0,2026-04-07 13:30,2026-04-07 22:20,1163,5.0,H,No Limit,Normal,-55.00,942,Bounty Progressive-Bounty Multi-Entry,USD,,31855,8,,"$55 Mini Bounty Builder HR [Progressive KO], $70K Gtd",404,
PokerStars,"lo-fi dream",3988616071,100.0,2026-04-07 14:30,2026-04-07 21:20,199,9.0,H,No Limit,Normal,-109.00,216,Multi-Entry,USD,,24619,8,,"$109 Super Tuesday, $25K Gtd",62,
PokerStars,"lo-fi dream",3988616091,52.38,2026-04-07 18:02,2026-04-07 19:54,189,2.62,H,No Limit,Super Turbo,-55.00,85,6-Max Multi-Entry,USD,,6729,6,,"$55 Daily Supersonic [6-Max, Hyper-Turbo], $12K Gtd",69,
PokerStars,"lo-fi dream",3988615978,50.0,2026-04-06 13:30,2026-04-06 22:33,1575,5.0,H,No Limit,Normal,-23.75,822,Bounty Progressive-Bounty Multi-Entry,USD,,32591,8,31.25,"$55 Mini Bounty Builder HR [Progressive KO], $80K Gtd",565,31.25
PokerStars,"lo-fi dream",3988615993,68.18,2026-04-06 17:02,2026-04-06 21:07,288,6.82,H,No Limit,Turbo,-75.00,273,Bounty Progressive-Bounty Mystery-Bounty Multi-Entry,USD,,14725,8,,"$75 Daily Cooldown [Turbo, Mystery Bounty], $20K Gtd",72,
PokerStars,"lo-fi dream",3988616001,52.38,2026-04-06 18:02,2026-04-06 20:09,296,2.62,H,No Limit,Super Turbo,-55.00,98,6-Max Multi-Entry,USD,,7640,6,,"$55 Daily Supersonic [6-Max, Hyper-Turbo], $15K Gtd",96,
PokerStars,"lo-fi dream",3987720333,100.0,2026-04-05 14:05,2026-04-06 17:41,3737,9.0,H,No Limit,Normal,-218.00,2614,Bounty Progressive-Bounty Multi-Entry,USD,,99406,8,,"$109 Sunday Special [Progressive KO], $400K Gtd - 2-Day Event",1138,
PokerStars,"lo-fi dream",3987720333,100.0,2026-04-05 14:05,2026-04-06 17:41,3737,9.0,H,No Limit,Normal,-218.00,3596,Bounty Progressive-Bounty Multi-Entry,USD,,99406,8,,"$109 Sunday Special [Progressive KO], $400K Gtd - 2-Day Event",1138,
