Rede, Jogador, ID do Jogo, Stake, Data de Início, Data de Conclusão, Participantes, Rake, Jogo, Estrutura, Velocidade, Resultado (incluindo Rake), Posição, Bandeiras, Moeda, Reentradas/Recompras, Duração, Jogadores por mesa, Prêmio, Nome, Total de Reentradas, Prêmio de Recompensa
PokerStars,"KKarlinhos",3990275326,20.0,2026-04-09 17:30,2026-04-10 00:38,556,2.0,H,No Limit,Normal,25.06,63,Bounty Progressive-Bounty Multi-Entry,USD,,25716,8,47.06,"Bounty Builder $22, $10K Gtd",110,25.0
PokerStars,"KKarlinhos",3988616239,20.0,2026-04-09 14:30,2026-04-09 23:04,1771,2.0,H,No Limit,Normal,22.68,142,Bounty Progressive-Bounty Multi-Entry,USD,,30896,8,44.68,"$22 Mini Thursday Thrill [Progressive KO], $40K Gtd",482,11.25
iPoker,"GOLDLILI",1158441351,22.75,2026-04-09 14:30,2026-04-09 22:30,451,2.25,H,No Limit,Normal,74.26,22,Deep-Stack Multi-Entry,EUR,,28828,8,99.26,"TFO|€10,000 THURSDAY SPECIAL",186,
PokerStars,"KKarlinhos",3990273777,20.0,2026-04-09 19:15,2026-04-09 22:02,146,2.0,H,No Limit,Turbo,34.94,9,Bounty Progressive-Bounty Multi-Entry,USD,,10071,8,56.94,"Hot $22 [Progressive KO], $2.5K Gtd",17,20.0
PartyPoker,"LiliKK",419957777,50.0,2026-04-09 15:05,2026-04-09 21:52,277,5.0,H,No Limit,Normal,-55.00,105,Bounty Multi-Entry,USD,,24469,9,,"The Super $55: $15,000 Gtd",40,
PokerStars,"KKarlinhos",3988616247,30.0,2026-04-09 16:30,2026-04-09 21:42,347,3.0,H,No Limit,Normal,5.21,48,Bounty Progressive-Bounty Multi-Entry,USD,,18740,8,38.21,"Meteor $33 [8-Max, Progressive KO], $10K Gtd",48,7.5
PartyPoker,"LiliKK",419956263,20.0,2026-04-09 19:15,2026-04-09 21:41,61,2.0,H,No Limit,Turbo,-22.00,58,Bounty Multi-Entry,USD,,8789,7,,"Bounty Hunter 7-Max Turbo: $1K Gtd",13,
PartyPoker,"LiliKK",419958030,20.0,2026-04-09 18:00,2026-04-09 21:30,75,2.0,H,No Limit,Normal,-22.00,64,Bounty Multi-Entry,USD,,12641,7,,"Bounty Hunter 7-Max: $1K Gtd",9,
PokerStars,"KKarlinhos",3990275305,14.7,2026-04-09 14:30,2026-04-09 21:25,973,1.8,H,No Limit,Normal,-16.50,727,Bounty Progressive-Bounty Multi-Entry,USD,,24935,8,,"Bounty Builder $16.50, $15K Gtd",143,
PartyPoker,"LiliKK",419957798,30.0,2026-04-09 16:05,2026-04-09 21:20,160,3.0,H,No Limit,Normal,-43.50,49,Bounty Multi-Entry,USD,,18891,7,,"Daily Legends Gladiator: $5K Gtd",25,22.5
PartyPoker,"LiliKK",419957798,30.0,2026-04-09 16:05,2026-04-09 21:20,160,3.0,H,No Limit,Normal,-43.50,163,Bounty Multi-Entry,USD,,18891,7,,"Daily Legends Gladiator: $5K Gtd",25,22.5
PokerStars,"KKarlinhos",3988616243,40.0,2026-04-09 15:30,2026-04-09 21:19,209,4.0,H,No Limit,Normal,1.00,37,Bounty Progressive-Bounty Multi-Entry,USD,,20972,8,45.0,"Cosmic $44 [8-Max, Progressive KO], $10K Gtd",30,45.0
PartyPoker,"LiliKK",419957783,20.0,2026-04-09 17:05,2026-04-09 21:16,262,2.0,H,No Limit,Turbo,-22.00,92,Bounty Mystery-Bounty Multi-Entry,USD,,15053,7,,"Daily Legends 7-Max Early Mystery Turbo: $6K Gtd [MB starts when LR ends]",69,
iPoker,"GOLDLILI",1159263094,45.5,2026-04-09 14:00,2026-04-09 20:48,345,4.5,H,No Limit,Normal,-15.86,149,Bounty Progressive-Bounty Deep-Stack Multi-Entry,EUR,,24480,8,34.14,"€20,000 GTD PKO MAIN",100,34.14
PartyPoker,"LiliKK",419957788,50.0,2026-04-09 18:05,2026-04-09 20:30,60,5.0,H,No Limit,Turbo,-55.00,40,Bounty Progressive-Bounty Multi-Entry,USD,,8746,7,,"Daily Legends 6-Max PKO Turbo: $2.5K Gtd",6,
PartyPoker,"LiliKK",419960009,50.0,2026-04-09 17:00,2026-04-09 20:30,54,5.0,H,No Limit,Normal,-42.50,23,Bounty Multi-Entry,USD,,12641,7,12.5,"Bounty Hunter 6-Max: $2K Gtd",7,12.5
PokerStars,"KKarlinhos",3990273767,15.5,2026-04-09 18:35,2026-04-09 20:26,312,1.0,H,No Limit,Super Turbo,-16.50,221,Bounty Progressive-Bounty Multi-Entry,USD,,6686,7,,"Hot Hyper $16.50 [Progressive KO], $5K Gtd",34,
PartyPoker,"LiliKK",419961766,31.5,2026-04-09 18:45,2026-04-09 19:52,23,1.5,H,No Limit,Super Turbo,-33.00,22,Bounty Multi-Entry,USD,,4028,7,,"Bounty Hunter 6-Max Hyper: $750 Gtd",2,
PokerStars,"KKarlinhos",3988616228,20.0,2026-04-09 13:02,2026-04-09 19:35,422,2.0,H,No Limit,Normal,-22.00,263,6-Max Multi-Entry,USD,,23601,6,,"$22 Thursday Chameleon, $10K Gtd",105,
PokerStars,"KKarlinhos",3990273722,20.0,2026-04-09 16:15,2026-04-09 19:32,315,2.0,H,No Limit,Turbo,-44.00,295,Bounty Progressive-Bounty Multi-Entry,USD,,11830,8,,"Hot $22 [Progressive KO], $6K Gtd",38,
PokerStars,"KKarlinhos",3990273722,20.0,2026-04-09 16:15,2026-04-09 19:32,315,2.0,H,No Limit,Turbo,-44.00,352,Bounty Progressive-Bounty Multi-Entry,USD,,11830,8,,"Hot $22 [Progressive KO], $6K Gtd",38,
PartyPoker,"LiliKK",419957806,20.0,2026-04-09 14:05,2026-04-09 19:14,353,2.0,H,No Limit,Normal,-17.00,84,Bounty Multi-Entry,USD,,18548,9,5.0,"Daily Legends Predator: $7.5K Gtd",51,5.0
iPoker,"GOLDLILI",1159234695,18.2,2026-04-09 10:00,2026-04-09 18:49,517,1.8,H,No Limit,Normal,-20.00,227,Bounty Deep-Stack Multi-Entry,EUR,,31771,8,,"€10,000 GTD 8-MAX",156,
PartyPoker,"LiliKK",419960387,15.75,2026-04-09 15:45,2026-04-09 17:18,90,0.75,H,No Limit,Super Turbo,-16.50,78,Bounty Multi-Entry,USD,,5578,9,,"Bounty Hunter 8-Max Hyper: $1K Gtd",9,
PartyPoker,"LiliKK",419957397,31.5,2026-04-09 14:45,2026-04-09 16:01,20,1.5,H,No Limit,Super Turbo,159.91,2,Bounty Multi-Entry,USD,,4559,7,192.91,"Bounty Hunter 6-Max Hyper: $600 Gtd",4,59.05
PokerStars,"KKarlinhos",3988616157,20.0,2026-04-08 14:30,2026-04-08 23:17,2086,2.0,H,No Limit,Normal,-17.23,402,Bounty Progressive-Bounty Mystery-Bounty Multi-Entry,USD,,31668,8,4.77,"$22 Mini Wednesday Surprise [Mystery Bounty], $50K Gtd",794,
PokerStars,"KKarlinhos",3988616157,20.0,2026-04-08 14:30,2026-04-08 23:17,2086,2.0,H,No Limit,Normal,-17.23,1859,Bounty Progressive-Bounty Mystery-Bounty Multi-Entry,USD,,31668,8,4.77,"$22 Mini Wednesday Surprise [Mystery Bounty], $50K Gtd",794,
PartyPoker,"LiliKK",419957776,50.0,2026-04-08 15:05,2026-04-08 22:11,272,5.0,H,No Limit,Normal,-55.00,95,Bounty Multi-Entry,USD,,25595,9,,"The Super $55: $15,000 Gtd",55,
PokerStars,"KKarlinhos",3988616167,9.8,2026-04-08 17:02,2026-04-08 22:09,1920,1.2,H,No Limit,Turbo,-11.00,1332,Bounty Progressive-Bounty Mystery-Bounty Multi-Entry,USD,,18447,8,,"$11 Mini Daily Cooldown [Turbo, Mystery Bounty], $20K Gtd",710,
