Rede, Jogador, ID do Jogo, Stake, Data de Início, Data de Conclusão, Participantes, Rake, Jogo, Estrutura, Velocidade, Resultado (incluindo Rake), Posição, Bandeiras, Moeda, Reentradas/Recompras, Duração, Jogadores por mesa, Prêmio, Nome, Total de Reentradas, Prêmio de Recompensa
iPoker,"MaievShadowsong",1160075180,9.1,2026-04-10 14:00,2026-04-10 20:33,510,0.9,H,No Limit,Normal,-10.00,585,Bounty Deep-Stack Multi-Entry,EUR,,23602,8,,"€5,000 BOUNTY HUNTER",94,
iPoker,"MaievShadowsong",1159369891,27.3,2026-04-10 11:00,2026-04-10 20:04,632,2.7,H,No Limit,Normal,-16.34,378,Bounty Deep-Stack Multi-Entry,EUR,,32693,8,13.66,"€20,000 GTD ELIMINATOR",183,13.66
PartyPoker,"iAGOOO-",419957803,20.0,2026-04-10 14:05,2026-04-10 19:25,346,2.0,H,No Limit,Normal,-22.00,331,Bounty Multi-Entry,USD,,19224,9,,"Daily Legends Predator: $7.5K Gtd",55,
iPoker,"MaievShadowsong",1160063542,13.65,2026-04-10 12:05,2026-04-10 18:50,408,1.35,H,No Limit,Normal,-15.00,205,Deep-Stack Multi-Entry,EUR,,24333,7,,"€6,000 GTD LUCKY SEVEN XL",171,
PartyPoker,"iAGOOO-",419957949,10.0,2026-04-10 13:05,2026-04-10 18:26,455,1.0,H,No Limit,Normal,-8.50,503,Bounty Multi-Entry,USD,,19292,7,2.5,"Daily Legends Terminator: $5K Gtd",78,2.5
iPoker,"MaievShadowsong",1160055140,9.1,2026-04-10 10:30,2026-04-10 17:45,1058,0.9,H,No Limit,Normal,-10.00,786,Bounty Deep-Stack Mystery-Bounty Multi-Entry,EUR,,26118,7,,"€11,000 GTD MYSTERY",524,
PokerStars,"iagomialaret",3988616293,9.8,2026-04-10 09:05,2026-04-10 16:49,478,1.2,H,No Limit,Normal,38.71,16,Multi-Entry,USD,,27841,8,49.71,"$11 Mini Daily Kickoff, $5K Gtd",132,
PartyPoker,"iAGOOO-",419957328,20.0,2026-04-10 12:05,2026-04-10 16:42,200,2.0,H,No Limit,Normal,-22.00,220,Bounty Mystery-Bounty Multi-Entry,USD,,16655,7,,"Daily Legends 6-Max Mystery Bounty: $5K Gtd",49,
iPoker,"MaievShadowsong",1159364956,9.1,2026-04-10 10:00,2026-04-10 15:29,313,0.9,H,No Limit,Normal,11.65,18,Bounty Deep-Stack Multi-Entry,EUR,,19745,8,21.65,"€10 BOUNTY HUNTER PRIME",50,2.28
PartyPoker,"iAGOOO-",419956299,15.0,2026-04-10 11:00,2026-04-10 15:03,153,1.5,H,No Limit,Normal,-16.50,76,Bounty Multi-Entry,USD,,14618,9,,"Bounty Hunter 8-Max: $2K Gtd",13,
PokerStars,"iagomialaret",3990275241,14.7,2026-04-10 08:30,2026-04-10 14:06,382,1.8,H,No Limit,Normal,-12.75,192,Bounty Progressive-Bounty Multi-Entry,USD,,20184,8,3.75,"Bounty Builder $16.50, $7K Gtd",88,3.75
iPoker,"MaievShadowsong",1160043182,13.65,2026-04-10 07:30,2026-04-10 14:02,250,1.35,H,No Limit,Normal,4.43,20,Bounty Deep-Stack Multi-Entry,EUR,,23551,8,19.43,"€3,500 BOUNTY HUNTER",57,10.24
iPoker,"MaievShadowsong",1160043182,13.65,2026-04-10 07:30,2026-04-10 14:02,250,1.35,H,No Limit,Normal,4.43,258,Bounty Deep-Stack Multi-Entry,EUR,,23551,8,19.43,"€3,500 BOUNTY HUNTER",57,10.24
PartyPoker,"iAGOOO-",419956137,30.0,2026-04-10 10:05,2026-04-10 13:51,95,3.0,H,No Limit,Normal,-33.00,93,Bounty Progressive-Bounty Multi-Entry,USD,,13562,7,,"Daily Legends 7-Max PKO: $3K Gtd",12,
PokerStars,"iagomialaret",3990273623,14.7,2026-04-10 10:15,2026-04-10 13:19,200,1.8,H,No Limit,Turbo,-16.50,156,Bounty Progressive-Bounty Multi-Entry,USD,,11064,8,,"Hot $16.50 [Progressive KO], $2.5K Gtd",26,
PartyPoker,"iAGOOO-",419960500,10.0,2026-04-10 09:00,2026-04-10 13:06,145,1.0,H,No Limit,Normal,-11.00,164,Bounty Multi-Entry,USD,,14792,9,,"Bounty Hunter 8-Max: $1.5K Gtd",23,
iPoker,"MaievShadowsong",1159288538,9.1,2026-04-09 17:00,2026-04-10 00:42,535,0.9,H,No Limit,Normal,-10.00,741,Bounty Deep-Stack Multi-Entry,EUR,,27722,7,,"€6,000 GTD ULTRAMINI 7-MAX",320,
PokerStars,"iagomialaret",3988616239,20.0,2026-04-09 14:30,2026-04-09 23:04,1771,2.0,H,No Limit,Normal,-44.00,1950,Bounty Progressive-Bounty Multi-Entry,USD,,30896,8,,"$22 Mini Thursday Thrill [Progressive KO], $40K Gtd",482,
PokerStars,"iagomialaret",3988616239,20.0,2026-04-09 14:30,2026-04-09 23:04,1771,2.0,H,No Limit,Normal,-44.00,2162,Bounty Progressive-Bounty Multi-Entry,USD,,30896,8,,"$22 Mini Thursday Thrill [Progressive KO], $40K Gtd",482,
iPoker,"MaievShadowsong",1158441351,22.75,2026-04-09 14:30,2026-04-09 22:30,451,2.25,H,No Limit,Normal,30.21,47,Deep-Stack Multi-Entry,EUR,,28828,8,55.21,"TFO|€10,000 THURSDAY SPECIAL",186,
iPoker,"MaievShadowsong",1159256471,11.38,2026-04-09 13:00,2026-04-09 22:25,1747,1.12,H,No Limit,Normal,-25.00,688,Bounty Deep-Stack Mystery-Bounty Multi-Entry,EUR,,33923,8,,"€30,000 GTD MYSTERY XL",1249,
iPoker,"MaievShadowsong",1159256471,11.38,2026-04-09 13:00,2026-04-09 22:25,1747,1.12,H,No Limit,Normal,-25.00,1675,Bounty Deep-Stack Mystery-Bounty Multi-Entry,EUR,,33923,8,,"€30,000 GTD MYSTERY XL",1249,
PokerStars,"iagomialaret",3988616249,9.8,2026-04-09 17:02,2026-04-09 22:19,2102,1.2,H,No Limit,Turbo,12.04,68,Bounty Progressive-Bounty Mystery-Bounty Multi-Entry,USD,,19026,8,23.04,"$11 Mini Daily Cooldown [Turbo, Mystery Bounty], $25K Gtd",852,
PokerStars,"iagomialaret",3988616246,9.8,2026-04-09 16:02,2026-04-09 22:17,1118,1.2,H,No Limit,Normal,-11.00,907,Multi-Entry,USD,,22520,8,,"$11 Mini Fenomeno, $12K Gtd",302,
iPoker,"MaievShadowsong",1159277598,13.65,2026-04-09 15:50,2026-04-09 22:10,200,1.35,H,No Limit,Normal,-15.00,63,Deep-Stack Multi-Entry,EUR,,22844,7,,"Lucky Seven [7-Max]",65,
iPoker,"MaievShadowsong",1159259682,9.1,2026-04-09 13:30,2026-04-09 21:29,540,0.9,H,No Limit,Normal,-3.16,111,Bounty Deep-Stack Multi-Entry,EUR,,28758,8,6.84,"€5,000|Thursday Throwdown",94,6.84
iPoker,"MaievShadowsong",1159960468,9.1,2026-04-09 14:00,2026-04-09 20:49,514,0.9,H,No Limit,Normal,-5.44,268,Bounty Deep-Stack Multi-Entry,EUR,,24556,8,4.56,"€5,000 BOUNTY HUNTER",105,4.56
iPoker,"MaievShadowsong",1159253167,22.75,2026-04-09 12:30,2026-04-09 20:24,493,2.25,H,No Limit,Normal,-25.00,441,Bounty Deep-Stack Multi-Entry,EUR,,28452,8,,"€12,500 GTD BOUNTY KING",92,
iPoker,"MaievShadowsong",1159244700,27.3,2026-04-09 11:00,2026-04-09 20:12,627,2.7,H,No Limit,Normal,-30.00,648,Bounty Deep-Stack Multi-Entry,EUR,,33123,8,,"€20,000 GTD ELIMINATOR",195,
PokerStars,"iagomialaret",3990275284,9.8,2026-04-09 12:30,2026-04-09 20:11,1322,1.2,H,No Limit,Normal,-22.00,1360,Bounty Progressive-Bounty Multi-Entry,USD,,27719,8,,"Bounty Builder $11, $15K Gtd",323,
PokerStars,"iagomialaret",3990275284,9.8,2026-04-09 12:30,2026-04-09 20:11,1322,1.2,H,No Limit,Normal,-22.00,1440,Bounty Progressive-Bounty Multi-Entry,USD,,27719,8,,"Bounty Builder $11, $15K Gtd",323,
iPoker,"MaievShadowsong",1159969915,13.65,2026-04-09 15:15,2026-04-09 19:53,212,1.35,H,No Limit,Normal,-15.00,152,Bounty Deep-Stack Multi-Entry,EUR,,16726,8,,"€3,000 GTD BOUNTY HUNTER",25,
PartyPoker,"iAGOOO-",419957806,20.0,2026-04-09 14:05,2026-04-09 19:14,353,2.0,H,No Limit,Normal,-44.00,312,Bounty Multi-Entry,USD,,18548,9,,"Daily Legends Predator: $7.5K Gtd",51,
PartyPoker,"iAGOOO-",419957806,20.0,2026-04-09 14:05,2026-04-09 19:14,353,2.0,H,No Limit,Normal,-44.00,381,Bounty Multi-Entry,USD,,18548,9,,"Daily Legends Predator: $7.5K Gtd",51,
PartyPoker,"iAGOOO-",419957952,10.0,2026-04-09 13:05,2026-04-09 18:54,452,1.0,H,No Limit,Normal,-8.50,119,Bounty Multi-Entry,USD,,20961,7,2.5,"Daily Legends Terminator: $5K Gtd",74,2.5
iPoker,"MaievShadowsong",1159253169,11.38,2026-04-09 12:30,2026-04-09 17:53,279,1.12,H,No Limit,Normal,-12.50,260,Bounty Deep-Stack Multi-Entry,EUR,,19412,8,,"€3,000 GTD Bounty Hunter",38,
PartyPoker,"iAGOOO-",419957122,10.0,2026-04-09 11:30,2026-04-09 16:44,275,1.0,H,No Limit,Normal,-11.00,235,Deep-Stack Multi-Entry,USD,,18890,9,,"Daily Legends 8-Max Deepstack: $3K Gtd",37,
PokerStars,"iagomialaret",3990273644,20.0,2026-04-09 12:15,2026-04-09 15:07,150,2.0,H,No Limit,Turbo,-17.00,92,Bounty Progressive-Bounty Multi-Entry,USD,,10360,8,5.0,"Hot $22 [Progressive KO], $3K Gtd",20,5.0
